trip_id,drone_id,time_seconds,phase,lon,lat,alt_m,distance_3d_km,terrain_obstructed,fspl_db,obstruction_loss_db,path_loss_db,bidirectional_loss_limit_db,margin_db,available
Q2-010,U08,3222.26362687211,cruise,109.2144098099972,23.008088504718756,368.4154968261719,1.7005897596798223,True,104.6662160259975,10.0,114.6662160259975,122.0,7.3337839740025,True
Q2-010,U08,3227.26362687211,cruise,109.21514112049707,23.008107229954692,368.4154968261719,1.6262532481487708,True,104.27798837414677,10.0,114.27798837414677,122.0,7.722011625853227,True
Q2-010,U08,3232.26362687211,cruise,109.21587243099692,23.008125955190632,368.4154968261719,1.5519805918806555,False,103.87195055293533,0.0,103.87195055293533,122.0,18.12804944706467,True
Q2-010,U08,3237.26362687211,cruise,109.21660374149678,23.008144680426568,368.4154968261719,1.4777814173461943,False,103.44642885694192,0.0,103.44642885694192,122.0,18.55357114305808,True
Q2-010,U08,3242.26362687211,cruise,109.21733505199664,23.008163405662508,368.4154968261719,1.4036673758762215,False,102.99950895683195,0.0,102.99950895683195,122.0,19.000491043168054,True
Q2-010,U08,3247.26362687211,cruise,109.2180663624965,23.008182130898444,368.4154968261719,1.3296527015943655,False,102.52898924037977,0.0,102.52898924037977,122.0,19.471010759620228,True
Q2-010,U08,3252.26362687211,cruise,109.21879767299636,23.00820085613438,368.4154968261719,1.255754962989969,False,102.03232289927155,0.0,102.03232289927155,122.0,19.96767710072845,True
Q2-010,U08,3257.26362687211,cruise,109.21952898349622,23.00821958137032,368.4154968261719,1.1819960905586007,False,101.50654563668279,0.0,101.50654563668279,122.0,20.493454363317213,True
Q2-010,U08,3262.26362687211,cruise,109.22026029399608,23.008238306606255,368.4154968261719,1.1084038051492078,False,100.94818499513804,0.0,100.94818499513804,122.0,21.051815004861965,True
Q2-010,U08,3267.26362687211,cruise,109.22099160449594,23.008257031842195,368.4154968261719,1.0350136394949272,False,100.35314629421359,0.0,100.35314629421359,122.0,21.646853705786413,True
Q2-010,U08,3272.26362687211,cruise,109.2217229149958,23.00827575707813,368.4154968261719,0.9618718570870548,False,99.71656919667541,0.0,99.71656919667541,122.0,22.283430803324592,True
Q2-010,U08,3277.26362687211,cruise,109.22245422549565,23.00829448231407,368.4154968261719,0.8890397612943127,False,99.03264852887956,0.0,99.03264852887956,122.0,22.967351471120438,True
